region,year,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Life Ladder
Africa,2021,8.251503241689582,0.6700615253887678,58.07499988957455,0.704660927569657,0.0053280209587364055,0.7598180019018943,0.6250556012517527,0.33814468987678226,4.422793775483182
Africa,2022,8.263692642513075,0.661409445499119,58.43355269181101,0.7112174073332235,0.017998189941097628,0.7597838310818923,0.6359063339860815,0.35362861815251795,4.389887038030122
Africa,2023,8.26974142225165,0.6558979561454371,58.789473282663444,0.7140176547201056,0.014160067045227875,0.7581115270915785,0.6249823640835913,0.3421838385494132,4.4751848296115275
Asia,2010,9.296765711249375,0.7823258100486383,63.45121941915372,0.7020683426682542,0.04781923596264523,0.7605234540817214,0.6073716195618234,0.2543335418875624,5.292560094740333
Asia,2011,9.327805635405749,0.7766059041023254,63.52195144281155,0.7281544332097216,0.020300183340157506,0.7543863383371655,0.5934266956841073,0.24957005425197318,5.299291697944083
Asia,2012,9.363093643653684,0.7672110243541438,63.72292662829888,0.7078170405655373,0.008581008898412327,0.7678633633001548,0.6035745474623471,0.25846075975313415,5.228026145842017
Asia,2013,9.391391744846251,0.771247732057804,63.93482898619117,0.7319013560690532,0.02584388025968178,0.7650351953215715,0.6245004022993693,0.2748006874104825,5.276595087749202
Asia,2014,9.416792699767322,0.7828167477758918,64.14673143712486,0.7509759658720435,0.053046700793954495,0.7705150388362931,0.6237869772969223,0.2684814261590562,5.332322576569347
Asia,2015,9.431310742075851,0.7825842182810714,64.35863370197575,0.7497512224243909,0.0704562603246148,0.7645774380099483,0.6289343941502454,0.2851639794867213,5.255637957410115
Asia,2016,9.456016813448775,0.802926516532898,64.51834141801042,0.7739601925621188,0.034137635589558325,0.7680556935568651,0.6191525113291857,0.27743709869985655,5.311612378097162
Asia,2017,9.476774254465491,0.7988855904195367,64.67804876187952,0.7879789265675274,0.020923060899301307,0.7564493338993894,0.6098048723325497,0.28774226989930235,5.274852758500634
