country_geo,year,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Life Ladder,Life Ladder Category,region
Ethiopia,2016,7.5307416915893555,0.7187187075614929,58.70000076293945,0.7443076968193054,0.0345563888549804,0.702880859375,0.6271452903747559,0.2539405226707458,4.297848701477051,Low,Africa
Finland,2016,10.74088191986084,0.953940451145172,70.7750015258789,0.9483721852302552,-0.0328765250742435,0.2496595680713653,0.7688056826591492,0.1819984465837478,7.659843444824219,High,Europe
France,2016,10.685220718383787,0.8849229216575623,71.80000305175781,0.7867804765701294,-0.0969616472721099,0.6226970553398132,0.7149360775947571,0.2700362503528595,6.475208759307861,Medium,Europe
Gabon,2016,9.601238250732422,0.7800489664077759,56.625,0.6989423632621765,-0.2069890350103378,0.8165635466575623,0.625076174736023,0.4324046671390533,4.831764221191406,Low,Africa
Georgia,2016,9.469911575317385,0.5334122776985168,64.32499694824219,0.6064683794975281,-0.2548143863677978,0.5609240531921387,0.4748525619506836,0.223224475979805,4.448386192321777,Low,Asia
Germany,2016,10.856682777404783,0.9060292840003968,70.30000305175781,0.8705150485038757,0.1422893702983856,0.4459221363067627,0.7093761563301086,0.1872549355030059,6.873763084411621,High,Europe
Ghana,2016,8.447202682495117,0.6473031640052795,56.875,0.7511683702468872,0.085191436111927,0.8939552307128906,0.6589245796203613,0.3049097061157226,4.514411449432373,Low,Africa
Greece,2016,10.248492240905762,0.8026058673858643,70.5250015258789,0.4816168546676636,-0.2651339769363403,0.8984708189964294,0.5938278436660767,0.3362075090408325,5.302619457244873,Medium,Europe
Guatemala,2016,9.01262664794922,0.8112354874610901,61.70000076293945,0.8626757264137268,0.0059591089375317,0.812030017375946,0.8154767155647278,0.3213571906089782,6.358916282653809,Medium,The Americas
Guinea,2016,7.703959465026855,0.6754470467567444,51.95000076293945,0.725685179233551,-0.0601916089653968,0.8027811646461487,0.6761224865913391,0.3743937909603119,3.6028547286987305,Low,Africa
Haiti,2016,8.060001373291016,0.5837424397468567,54.900001525878906,0.3035404086112976,0.2444607019424438,0.8385231494903564,0.5322052836418152,0.367341011762619,3.35230016708374,Low,The Americas
Honduras,2016,8.573054313659668,0.7739099860191345,61.72499847412109,0.850046694278717,0.0760992690920829,0.7928751707077026,0.7900410890579224,0.2968466877937317,5.6481547355651855,Medium,The Americas
Hungary,2016,10.24752426147461,0.8995115756988525,66.75,0.5539517402648926,-0.1927042305469513,0.9241858124732972,0.5899617075920105,0.2433257699012756,5.448901653289795,Medium,Europe
Iceland,2016,10.908992767333984,0.9849400520324708,71.92500305175781,0.9516095519065856,0.2743895351886749,0.7192995548248291,0.807857871055603,0.1581691652536392,7.510034561157227,High,Europe
India,2016,8.66383171081543,0.6135293841362,59.400001525878906,0.8200687766075134,0.0411419197916984,0.7647221088409424,0.645889163017273,0.3456814587116241,4.179177284240723,Low,Asia
Indonesia,2016,9.260966300964355,0.7918305993080139,62.42499923706055,0.8299416303634644,0.4942834377288818,0.8896774053573608,0.7477544546127319,0.3415735960006714,5.136325359344482,Medium,Asia
Iran,2016,9.613709449768066,0.5662811994552612,65.8499984741211,0.773303747177124,0.17619588971138,0.712782621383667,0.5923522710800171,0.5258768200874329,4.652730941772461,Low,Asia
Iraq,2016,9.24996566772461,0.718956708908081,61.275001525878906,0.6661601662635803,-0.0502426102757453,0.7988664507865906,0.4711867868900299,0.5697580575942993,4.412537097930908,Low,Asia
Ireland,2016,11.188721656799316,0.9581440091133118,70.80000305175781,0.8745891451835632,0.1688106060028076,0.3985443115234375,0.744257926940918,0.2110633105039596,7.040731430053711,High,Europe
Israel,2016,10.56025218963623,0.8896607756614685,71.94999694824219,0.7722973227500916,0.146814689040184,0.8040565848350525,0.6018273234367371,0.2630902230739593,7.159010887145996,High,Asia
Italy,2016,10.617362022399902,0.9272128343582152,71.67500305175781,0.623741626739502,-0.0861873552203178,0.9028012156486512,0.6324813365936279,0.3391735851764679,5.954524040222168,Medium,Europe
Ivory Coast,2016,8.438225746154785,0.6174007654190063,53.07500076293945,0.7687893509864807,-0.0481076277792453,0.7574533820152283,0.6926950216293335,0.3780294060707092,4.542545795440674,Low,Africa
Jamaica,2016,9.200719833374023,0.9000970721244812,66.5999984741211,0.8434419433275858,-0.09475967288017266,0.8755749464035034,0.7027510205904642,0.2655947307745615,5.696685632069906,Medium,The Americas
Japan,2016,10.614670753479004,0.8997738361358643,73.7249984741211,0.8360646367073059,-0.0694528743624687,0.6976393461227417,0.6895833015441895,0.192402645945549,5.95465087890625,Medium,Asia
Jordan,2016,9.17296028137207,0.8199447393417358,67.5999984741211,0.771350622177124,-0.0420126281678676,0.7984966337680817,0.5977168083190918,0.3119133710861206,5.271284580230713,Medium,Asia
Kazakhstan,2016,10.09455680847168,0.9278106689453124,63.79999923706055,0.7828055620193481,-0.0418898239731788,0.7020166516304016,0.6406584978103638,0.15541473031044,5.533551692962647,Medium,Asia
Kenya,2016,8.353463172912598,0.7059215903282166,56.5,0.7485082745552063,0.2879396378993988,0.8284115791320801,0.7298745512962341,0.2256476581096649,4.396127700805664,Low,Africa
Kosovo,2016,9.21343994140625,0.8238027095794678,65.0999984741211,0.8273985981941223,0.1203578040003776,0.9408979415893556,0.5884125828742981,0.1496067196130752,5.759412288665772,Medium,Europe
Kuwait,2016,10.886990547180176,0.8452220559120178,70.17500305175781,0.8409671783447266,-0.0796072334051132,0.7984966337680817,0.64274001121521,0.3149229884147644,5.947194576263428,Medium,Asia
Kyrgyzstan,2016,8.49951457977295,0.9143754839897156,64.2249984741211,0.8139392137527466,0.0508660040795803,0.9169228076934814,0.6680458784103394,0.1260996758937835,4.856534004211426,Low,Asia
Laos,2016,8.826836013793946,0.7043941974639892,59.55200119018555,0.8670249104499816,0.09997763037681576,0.6329927742481232,0.7179640650749206,0.35271655321121215,4.673729610443115,Low,Asia
Latvia,2016,10.222280502319336,0.9170739650726318,65.9000015258789,0.685299277305603,-0.1630337089300155,0.8676396012306213,0.5832885503768921,0.2313835322856903,5.940446376800537,Medium,Europe
Lebanon,2016,9.754262924194336,0.8278859257698059,65.7750015258789,0.6573574542999268,0.0208412129431962,0.8531144857406616,0.5127472877502441,0.2634456157684326,5.270723819732666,Medium,Asia
Liberia,2016,7.330049991607666,0.6426146030426025,53.09999847412109,0.7634760141372681,0.0276431106030941,0.9012674689292908,0.6254667639732361,0.5090466737747192,3.354676008224488,Low,Africa
Libya,2016,9.828466415405272,0.8760658502578735,64.5250015258789,0.8223848342895508,-0.1352302432060241,0.7984966337680817,0.6449336409568787,0.3830737471580505,5.43358325958252,Medium,Africa
Lithuania,2016,10.371170043945312,0.937873363494873,65.6500015258789,0.6142393350601196,-0.2720963060855865,0.9493926763534546,0.552628219127655,0.2498557418584823,5.8655524253845215,Medium,Europe
Luxembourg,2016,11.663787841796877,0.941260576248169,71.5250015258789,0.882365345954895,0.0106854923069477,0.3563363254070282,0.7064987421035767,0.1923007071018219,6.96734094619751,High,Europe
